"measuring","weather station","month","time","Air temperature"
"Average","Qaqortoq","March","2019",-3.9
"Average","Qaqortoq","March","2020",-4.7
"Average","Qaqortoq","March","2021",-2.5
"Average","Qaqortoq","April","1993",-1.9
"Average","Qaqortoq","April","1994",-0.9
"Average","Qaqortoq","April","1995",1.0
"Average","Qaqortoq","April","1996",2.4
"Average","Qaqortoq","April","1997",0.6
"Average","Qaqortoq","April","1998",3.4
"Average","Qaqortoq","April","1999",2.7
"Average","Qaqortoq","April","2000",1.4
"Average","Qaqortoq","April","2001",1.4
"Average","Qaqortoq","April","2002",-0.5
"Average","Qaqortoq","April","2003",-1.1
"Average","Qaqortoq","April","2004",...
"Average","Qaqortoq","April","2005",2.2
"Average","Qaqortoq","April","2006",-0.3
"Average","Qaqortoq","April","2007",...
"Average","Qaqortoq","April","2008",1.7
"Average","Qaqortoq","April","2009",0.4
"Average","Qaqortoq","April","2010",1.7
"Average","Qaqortoq","April","2011",-3.9
"Average","Qaqortoq","April","2012",1.8
"Average","Qaqortoq","April","2013",0.8
"Average","Qaqortoq","April","2014",-1.7
"Average","Qaqortoq","April","2015",-1.7
"Average","Qaqortoq","April","2016",2.5
"Average","Qaqortoq","April","2017",-1.7
"Average","Qaqortoq","April","2018",0.5
"Average","Qaqortoq","April","2019",1.3
"Average","Qaqortoq","April","2020",1.0
"Average","Qaqortoq","April","2021",1.8
"Average","Qaqortoq","May","1993",1.5
"Average","Qaqortoq","May","1994",3.8
"Average","Qaqortoq","May","1995",2.9
"Average","Qaqortoq","May","1996",5.3
"Average","Qaqortoq","May","1997",4.4
"Average","Qaqortoq","May","1998",4.4
"Average","Qaqortoq","May","1999",3.3
"Average","Qaqortoq","May","2000",2.4
"Average","Qaqortoq","May","2001",3.4
"Average","Qaqortoq","May","2002",4.7
"Average","Qaqortoq","May","2003",4.7
"Average","Qaqortoq","May","2004",...
"Average","Qaqortoq","May","2005",4.2
"Average","Qaqortoq","May","2006",4.2
"Average","Qaqortoq","May","2007",...
"Average","Qaqortoq","May","2008",3.6
"Average","Qaqortoq","May","2009",1.7
"Average","Qaqortoq","May","2010",7.8
"Average","Qaqortoq","May","2011",2.0
"Average","Qaqortoq","May","2012",4.4
"Average","Qaqortoq","May","2013",1.7
"Average","Qaqortoq","May","2014",4.1
"Average","Qaqortoq","May","2015",1.6
"Average","Qaqortoq","May","2016",3.4
"Average","Qaqortoq","May","2017",3.5
"Average","Qaqortoq","May","2018",0.3
"Average","Qaqortoq","May","2019",...
"Average","Qaqortoq","May","2020",4.9
"Average","Qaqortoq","May","2021",4.1
"Average","Qaqortoq","June","1993",0.0
